id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,country,bio_first_paragraph
Q57553,Mohammed,None,1963-08-21,,Rabat,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3_%D8%A8%D9%86_%D8%A7%D9%84%D8%AD%D8%B3%D9%86,1999-07-23,,ma,جائزة محمد السادس لفن الخط المغربي.
Q69103,Hassan,None,1929-07-09,1999-07-20,Rabat,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A_%D8%A8%D9%86_%D9%85%D8%AD%D9%85%D8%AF,1961-02-26,1999-07-23,ma,الحَسَن الثاني بِنْ مُحمد بِنْ يوسف العَلوي (9 يوليو 1929 – 23 يوليو 1999)، ثاني ملوك المملكة المغربية بعد الإستقلال، والملك الثاني والعشرين للمغرب من سلالة العلويين الفيلاليين، تولى حكم المملكة المغربية خلفًا لوالده الملك محمد الخامس في 26 فبراير 1961 وحتى وفاته في 20 يوليو 1999. ينتمي الملك الحسن الثاني إلى السلالة العلوية التي تعود في نسبها إلى الحسن بن علي بن أبي طالب، وتحكم المغرب منذ عام 1666 ميلادية ويلقب الحاكم منهم بأمير المؤمنين.
Q193874,Mohammed,None,1909-08-10,1961-02-26,Fez,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3_%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81,1957-08-14,1961-02-26,ma,محمد الخامس بن يوسف بن الحسن بن محمد بن عبد الرحمن بن هشام بن محمد بن عبد الله بن إسماعيل بن إسماعيل بن الشريف بن علي العلوي وُلد (1327 هـ / 10 أغسطس 1909م بالقصر السلطاني بفاس)  وتوفي (1381 هـ / 26 فبراير 1961م بالرباط) خَلَف والده السلطان مولاي يوسف الذي توفي بُكرة يوم الخميس 22 جمادى الأولى سنة 1346 هـ موافق 17 نوفمبر سنة 1927م فبويع ابنه سيدي محمد سلطانا للمغرب في اليوم الموالي بعد صلاة الجمعة 23 جمادى الأولى سنة 1346 هـ موافق 18 نوفمبر سنة 1927م في القصر السلطاني بفاس  ولم يزل سلطان المغرب إلى سنة 1957م، قضى منها المنفى بين (1953-1955)، ثم اتخذ لقب الملك سنة 1957م ولم يزل ملكا إلى وفاته سنة 1961م، ساند السلطان محمد الخامس نضالات الحركة الوطنية المغربية المطالبة بتحقيق الاستقلال، الشيء الذي دفعه إلى الاصطدام بسلطات الحماية. وكانت النتيجة قيام سلطات الحماية بنفيه إلى مدغشقر. وعلى إثر ذلك اندلعت مظاهرات مطالبة بعودته إلى وطنه. وأمام اشتداد حدة المظاهرات، قبلت السلطات الفرنسية بإرجاع السلطان إلى عرشه يوم 16 نوفمبر 1955. وبعد بضعة شهور تم إعلان استقلال المغرب. كان الملك محمد الخامس يكنى: أبا عبد الله.
Q334782,Mohammed,None,,,None,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%82%D8%A7%D8%A6%D9%85_%D8%A8%D8%A3%D9%85%D8%B1_%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%84%D8%B3%D8%B9%D8%AF%D9%8A,,1517-01-01,ma,أبو عبد الله محمد بن محمد ابن علي بن مخلوف بن زيدان الملقب بالقائم بأمر الله عميد الأسرة السعدية وأول سلطان للمغرب من الأسرة السعدية، حكم بين 1509 - 1517.
Q23,George,Washington,1732-02-22,1799-12-14,Westmoreland County,https://en.wikipedia.org/wiki/George_Washington,1789-04-30,1797-03-04,us,"George Washington (February 22, 1732 – December 14, 1799) was an American Founding Father, military officer, politician and statesman who served as the first president of the United States from 1789 to 1797. Appointed by the Second Continental Congress as commander of the Continental Army in 1775, Washington led Patriot forces to victory in the American Revolutionary War and then served as president of the Constitutional Convention in 1787, which drafted and ratified the Constitution of the United States and established the U.S. federal government. Washington has thus been known as the Father of the Nation."
Q76,Barack,Obama,1961-08-04,,Kapiolani Medical Center for Women and Children,https://en.wikipedia.org/wiki/Barack_Obama,2009-01-20,2017-01-20,us, University of Chicago Law School 
Q91,Abraham,Lincoln,1809-02-12,1865-04-15,Sinking Spring Farm,https://en.wikipedia.org/wiki/Abraham_Lincoln,1861-03-04,1865-04-15,us,"Abraham Lincoln (/ˈlɪŋkən/ LINK-ən; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865. Lincoln led the United States through the American Civil War, defending the nation as a constitutional union, defeating the insurgent Confederacy, abolishing slavery, expanding the power of the federal government, and modernizing the U.S. economy."
Q207,George,Bush,1946-07-06,,New Haven,https://en.wikipedia.org/wiki/George_W._Bush,2001-01-20,2009-01-20,us,"George Walker Bush (born July 6, 1946) is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he previously served as the 46th governor of Texas from 1995 to 2000."
Q1124,Bill,Clinton,1946-08-19,,Hope,https://en.wikipedia.org/wiki/Bill_Clinton,1993-01-20,2001-01-20,us,"William Jefferson Clinton (born William Jefferson Blythe III, August 19, 1946) is an American politician  who served as the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party, he previously served as Governor of Arkansas from 1979 to 1981 and again from 1983 to 1992. Clinton, whose policies reflected a centrist Third Way political philosophy, became known as a New Democrat."
Q6279,Joe,Biden,1942-11-20,,St. Mary's Hospital,https://en.wikipedia.org/wiki/Joe_Biden,2021-01-20,,us,"Joseph Robinette Biden Jr. (/ˈbaɪdən/ ⓘ BY-dən; born November 20, 1942) is an American politician who is the 46th and current president of the United States. A member of the Democratic Party, he previously served as the 47th vice president from 2009 to 2017 under President Barack Obama and represented Delaware in the United States Senate from 1973 to 2009."
Q8007,Franklin,Roosevelt,1882-01-30,1945-04-12,Hyde Park,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,us,"Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known as FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. He was a member of the Democratic Party and is the only U.S. president to have served more than two terms. His initial two terms were centered on combating the Great Depression, while his third and fourth saw him shift his focus to Americas involvement in World War II. "
Q8612,Andrew,Johnson,1808-12-29,1875-07-31,Raleigh,https://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,us,"Andrew Johnson (December 29, 1808 – July 31, 1875) was an American politician who served as the 17th president of the United States from 1865 to 1869. He assumed the presidency following the assassination of Abraham Lincoln, as he was vice president at that time. Johnson was a Democrat who ran with Abraham Lincoln on the National Union Party ticket, coming to office as the Civil War concluded. He favored quick restoration of the seceded states to the Union without protection for the newly freed people who were formerly enslaved. This led to conflict with the Republican-dominated Congress, culminating in his impeachment by the House of Representatives in 1868. He was acquitted in the Senate by one vote."
Q9582,Gerald,Ford,1913-07-14,2006-12-26,Omaha,https://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,us,"The economy was a great concern during the Ford administration. One of the first acts the new president took to deal with the economy was to create, by Executive Order on September 30, 1974, the Economic Policy Board. In October 1974, in response to rising inflation, Ford went before the American public and asked them to Whip Inflation Now. As part of this program, he urged people to wear WIN buttons. At the time, inflation was believed to be the primary threat to the economy, more so than growing unemployment; there was a belief that controlling inflation would help reduce unemployment. To rein in inflation, it was necessary to control the publics spending. To try to mesh service and sacrifice, WIN called for Americans to reduce their spending and consumption. On October 4, 1974, Ford gave a speech in front of a joint session of Congress; as a part of this speech he kicked off the WIN campaign. Over the next nine days, 101,240 Americans mailed in WIN pledges. In hindsight, this was viewed as simply a public relations gimmick which had no way of solving the underlying problems. The main point of that speech was to introduce to Congress a one-year, five-percent income tax increase on corporations and wealthy individuals. This plan would also take $4.4 billion out of the budget, bringing federal spending below $300 billion. At the time, inflation was over twelve percent."
Q9588,Richard,Nixon,1913-01-09,1994-04-22,Yorba Linda,https://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,us,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th president of the United States, serving from 1969 to 1974. A member of the Republican Party, he previously served as a representative and senator from California and as the 36th vice president from 1953 to 1961 under President Dwight D. Eisenhower. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixons second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal. "
Q9640,Lyndon,Johnson,1908-08-27,1973-01-22,Stonewall,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,us,"Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator."
Q9696,John,Kennedy,1917-05-29,1963-11-22,Brookline,https://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,us,"John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to as JFK or Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the youngest person elected president. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to his presidency."
Q9916,Dwight,Eisenhower,1890-10-14,1969-03-28,Denison,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,us,General:
Q9960,Ronald,Reagan,1911-02-06,2004-06-05,Tampico,https://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,us,"Ronald Wilson Reagan (/ˈreɪɡən/ RAY-gən; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, his presidency constituted the Reagan era, and he is considered one of the most prominent conservative figures in American history."
Q11613,Harry,Truman,1884-05-08,1972-12-26,Lamar,https://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,us,Other
Q11806,John,Adams,,1826-07-04,Braintree,https://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,us,"John Adams (October 30, 1735 – July 4, 1826) was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson."
Q11812,Thomas,Jefferson,,1826-07-04,Shadwell,https://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,us,"In keeping with his Enlightenment thinking, President Jefferson adopted an assimilation policy toward American Indians known as his civilization program which included securing peaceful U.S.–Indian treaty alliances and encouraging agriculture. Jefferson advocated that Indian tribes should make federal purchases by credit holding their lands as collateral. Various tribes accepted Jeffersons policies, including the Shawnees led by Black Hoof, the Muscogee, and the Cherokee. However, some Shawnees, led by Tecumseh, broke off from Black Hoof, and opposed Jeffersons assimilation policies."
Q11813,James,Madison,1751-03-16,1836-06-28,Port Conway,https://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,us,"James Madison Jr. (March 16, 1751[b] – June 28, 1836) was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed the Father of the Constitution for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
Q11815,James,Monroe,1758-04-28,1831-07-04,Monroe Hall,https://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,us,"James Monroe (/mənˈroʊ/ mən-ROH; April 28, 1758 – July 4, 1831) was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825, a member of the Democratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty and the Republican Generation. His presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
Q11816,John,Adams,1767-07-11,1848-02-23,Braintree,https://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,us,"John Quincy Adams (/ˈkwɪnzi/ ⓘ;[a] July 11, 1767 – February 23, 1848) was an American statesman, politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
